시도,2019,2020,2021,2022,2023
서울,991.0826446280992,980.4859504132231,967.993388429752,960.7553719008264,957.699173553719
부산,469.5090909090909,463.24805194805197,458.3038961038961,455.23994811932556,452.1841763942931
대구,283.07013574660635,276.75311438278595,272.0735294117647,270.45536723163843,170.94129419613074
인천,207.20790216368766,205.46666666666667,206.22138836772984,206.8331771321462,207.85660731021557
광주,278.686626746507,276.52694610778445,276.10379241516966,272.1576846307385,271.8502994011976
대전,247.52407407407406,247.0462962962963,244.7574074074074,243.35185185185185,242.6925925925926
울산,129.3653483992467,129.24293785310735,129.7476459510358,129.6519285042333,128.98118532455314
세종,73.51182795698925,74.48817204301075,75.61075268817204,76.83010752688172,76.09247311827957
경기,117.05974688511724,118.66248160863168,120.62930273609885,122.51627450980392,124.11460784313725
강원,24.73728309959591,25.032323232323233,25.454842543077838,25.75222816399287,25.996019250193097
충북,53.08181449979749,53.591332523288784,54.055083029566624,54.529364115026326,54.98663426488457
충남,65.65765219500364,66.50703371331555,67.1530253425488,67.79689584091184,68.43671193016489
전북,56.33325071260379,56.7731102850062,57.12450445986125,57.45645980428589,57.46104298278211
전남,52.543782908059946,52.92160673793327,53.19127761145724,53.47649866515654,53.75432777867659
경북,43.146009562339096,43.4604917516024,43.746099290780144,44.008247530993906,44.777898393399916
경남,68.25702087286527,68.45119058912816,68.68943274520964,68.82574464048568,68.98406525656834
제주,96.81243243243243,98.11135135135135,99.43297297297298,100.79729729729729,102.34378378378378
