시도명(1),2019,2020,2021,2022,2023,2024
시도명(1),합계,합계,합계,합계,합계,합계
합계,7243472,7275266,7314264,7354340,7391084,7421603
비율,100,100,100,100,100,100
서울,599605,593194,585636,581257,579408,577221
부산,361522,356701,352894,350990,348634,347317
대구,250234,244373,240513,239353,256241,256232
인천,220262,218822,219832,220691,221783,221082
광주,139622,138540,138328,136351,136197,136133
대전,133663,133405,132169,131410,131054,130504
울산,137386,137256,137792,137820,137107,136957
세종,34183,34637,35159,35726,35383,35991
경기,1193190,1209764,1230057,1249666,1265969,1277013
강원,416279,421294,428405,433410,437539,442100
충북,393177,396951,400386,403899,407286,409584
충남,541413,548417,553811,559121,564466,568902
전북,454553,458159,461109,463846,463883,465324
전남,648653,653476,657391,661023,664511,667297
경북,821198,827227,832707,837741,824988,828690
경남,719429,721544,724124,725561,727299,729640
제주,179103,181506,183951,186475,189336,191616
