day,value
20230101,2.9958333333333336
20230102,2.4125
20230103,1.8208333333333335
20230104,1.5250000000000001
20230105,1.3208333333333333
20230106,2.2416666666666667
20230107,1.8624999999999998
20230108,1.3416666666666668
20230109,2.3956521739130436
20230110,1.125
20230111,1.6458333333333333
20230112,2.1708333333333334
20230113,1.1541666666666666
20230114,2.3916666666666666
20230115,3.391666666666667
20230116,2.375
20230117,1.2333333333333334
20230118,1.8958333333333333
20230119,2.558333333333333
20230120,2.9458333333333333
20230121,2.2125
20230122,1.4208333333333334
20230123,4.495833333333334
20230124,4.558333333333334
20230125,2.2624999999999997
20230126,2.0625
20230127,4.058333333333334
20230128,1.8041666666666665
20230129,2.3333333333333335
20230130,1.8791666666666667
20230131,2.066666666666667
20230201,3.4125
20230202,2.3375
20230203,1.6291666666666667
20230204,1.3791666666666667
20230205,1.4416666666666667
20230206,1.4583333333333333
20230207,1.9375
20230208,2.0708333333333333
20230209,2.4208333333333334
20230210,1.9166666666666667
20230211,1.1500000000000001
20230212,1.5958333333333332
20230213,2.654166666666667
20230214,2.7416666666666667
20230215,1.7458333333333333
20230216,1.6500000000000001
20230217,1.1791666666666667
20230218,1.4541666666666666
20230219,3.3333333333333335
20230220,4.208333333333333
20230221,1.6375
20230222,1.7416666666666665
20230223,1.7125000000000001
20230224,3.1666666666666665
20230225,2.4250000000000003
20230226,1.55
20230227,1.240909090909091
20230228,1.4875
20230301,4.383333333333334
20230302,2.4125
20230303,1.6708333333333334
20230304,1.45
20230305,1.325
20230306,1.5374999999999999
20230307,1.4749999999999999
20230308,1.9041666666666668
20230309,1.575
20230310,1.375
20230311,1.9458333333333335
20230312,3.6166666666666667
20230313,2.5708333333333333
20230314,2.154166666666667
20230315,2.725
20230316,2.245833333333333
20230317,2.0625
20230318,1.9458333333333335
20230319,1.6208333333333333
20230320,1.7166666666666668
20230321,1.0166666666666666
20230322,1.7416666666666665
20230323,3.4166666666666665
20230324,1.9375
20230325,2.220833333333333
20230326,3.454166666666667
20230327,1.8708333333333333
20230328,1.5666666666666667
20230329,1.2166666666666666
20230330,1.8916666666666666
20230331,1.625
20230401,1.6208333333333333
20230402,1.7249999999999999
20230403,2.6083333333333334
20230404,3.420833333333333
20230405,1.7958333333333334
20230406,1.741666666666667
20230407,2.2291666666666665
20230408,2.3458333333333337
20230409,2.0625
