day,value
20230101,2.670833333333333
20230102,2.3958333333333335
20230103,1.7958333333333334
20230104,1.9416666666666667
20230105,1.7166666666666668
20230106,2.275
20230107,1.9625000000000001
20230108,1.7416666666666665
20230109,2.426086956521739
20230110,1.5791666666666666
20230111,1.7541666666666667
20230112,3.0500000000000003
20230113,1.1500000000000001
20230114,3.1625
20230115,2.8791666666666664
20230116,2.1708333333333334
20230117,1.5583333333333333
20230118,2.279166666666667
20230119,3.204166666666666
20230120,2.8541666666666665
20230121,2.225
20230122,1.9041666666666668
20230123,3.9458333333333333
20230124,3.5124999999999997
20230125,2.5791666666666666
20230126,2.3041666666666667
20230127,3.404166666666667
20230128,2.3375
20230129,2.625
20230130,2.4208333333333334
20230131,2.670833333333333
20230201,3.158333333333333
20230202,2.441666666666667
20230203,2.0166666666666666
20230204,2.1041666666666665
20230205,1.8625
20230206,1.4291666666666665
20230207,1.9000000000000001
20230208,2.3583333333333334
20230209,2.7125
20230210,2.0375
20230211,1.4791666666666667
20230212,2.3916666666666666
20230213,2.441666666666667
20230214,3.0833333333333335
20230215,2.033333333333333
20230216,2.5083333333333333
20230217,1.7083333333333333
20230218,1.675
20230219,3.275
20230220,3.3958333333333335
20230221,1.8708333333333333
20230222,2.0541666666666667
20230223,2.025
20230224,3.345833333333333
20230225,2.404166666666667
20230226,2.0
20230227,1.8090909090909089
20230228,2.0083333333333333
20230301,3.6833333333333336
20230302,2.341666666666667
20230303,2.0458333333333334
20230304,1.7083333333333333
20230305,1.8583333333333334
20230306,2.245833333333333
20230307,2.1750000000000003
20230308,2.5
20230309,2.1166666666666667
20230310,1.8791666666666667
20230311,2.9166666666666665
20230312,4.345833333333333
20230313,2.65
20230314,2.4791666666666665
20230315,2.983333333333333
20230316,2.308333333333333
20230317,1.9583333333333333
20230318,2.3833333333333333
20230319,2.1125000000000003
20230320,1.8375000000000001
20230321,1.5833333333333333
20230322,1.7541666666666667
20230323,2.9250000000000003
20230324,2.2333333333333334
20230325,2.920833333333333
20230326,3.0666666666666664
20230327,2.3000000000000003
20230328,1.7750000000000001
20230329,1.866666666666667
20230330,2.1666666666666665
20230331,2.120833333333333
20230401,2.4166666666666665
20230402,2.2916666666666665
20230403,2.254166666666667
20230404,3.4333333333333336
20230405,2.6625
20230406,2.1333333333333333
20230407,3.345833333333333
20230408,2.9375
20230409,2.3541666666666665
20230410,3.3958333333333335
20230411,2.85
20230412,2.9458333333333333
20230413,1.4956521739130435
20230414,1.7347826086956522
20230415,2.3958333333333335
20230416,2.1083333333333334
20230417,2.779166666666667
