"행정구역별",2019,2020,2021,2022,2023,2024
"전국",515.7,516.2,515.2,514.6,515.4,515.7
"서울특별시",15926.9,15839.0,15650.1,15560.7,15506.4,15425.0
"부산광역시",4379.7,4348.9,4316.4,4272.8,4252.0,4222.9
"대구광역시",2750.3,2728.6,2702.2,2673.7,1586.7,1580.1
"인천광역시",2776.6,2765.1,2772.8,2801.3,2835.7,2859.3
"광주광역시",2972.7,2948.5,2944.0,2931.9,2908.5,2882.8
"대전광역시",2777.5,2758.1,2742.8,2730.7,2724.0,2718.1
"울산광역시",1076.9,1069.0,1055.0,1044.9,1042.0,1041.4
"세종특별자치시",727.3,761.3,787.7,822.9,830.7,839.0
"경기도",1305.0,1325.3,1338.9,1344.9,1354.5,1364.0
"강원특별자치도",90.3,90.4,90.4,90.8,90.8,90.5
"충청북도",220.0,220.3,219.4,219.4,221.6,222.3
"충청남도",265.4,264.0,263.8,265.9,268.7,271.4
"전북특별자치도",224.0,223.4,221.4,219.8,219.1,217.8
"전라남도",144.8,144.9,143.9,143.3,143.7,143.8
"경상북도",140.2,138.9,138.4,137.7,140.6,139.9
"경상남도",317.6,316.2,313.6,311.2,310.3,309.6
"제주특별자치도",359.4,362.6,363.8,365.6,365.8,364.7
