남북한별 ,2019,2020,2021,2022,2023
남북한별 ,면적 (㎢),면적 (㎢),면적 (㎢),면적 (㎢),면적 (㎢)
서울특별시,605,605,605,605,605
부산광역시,770,770,770,771,771
대구광역시,884,883,884,885,1499
인천광역시,1063,1065,1066,1067,1067
광주광역시,501,501,501,501,501
대전광역시,540,540,540,540,540
울산광역시,1062,1062,1062,1063,1063
세종특별자치시,465,465,465,465,465
경기도,10193,10195,10197,10200,10200
강원특별자치도,16828,16830,16830,16830,16831
충청북도,7407,7407,7407,7407,7407
충청남도,8246,8246,8247,8247,8248
전라북도,8069,8070,8072,8073,8073
전라남도,12345,12348,12359,12361,12362
경상북도,19033,19034,19035,19036,18424
경상남도,10540,10541,10542,10542,10543
제주특별자치도,1850,1850,1850,1850,1850
